"Name","Site","BillingAddress","Phone","Type"
"Account 1","xgeek.net","Tokyo","(336) 222-7000","Prospect"
"Account 2","","TX","(512) 757-6000","Customer - Direct"
"Account 3","","CA","(650) 867-3450","Customer - Channel"
"Account 4","xgeek.net","Tokyo","(336) 222-7000","Prospect"
"Account 5","","TX","(512) 757-6000","Customer - Direct"
"Account 6","","CA","(650) 867-3450","Customer - Channel"
"Account 7","xgeek.net","Tokyo","(336) 222-7000","Prospect"
"Account 8","","TX","(512) 757-6000","Customer - Direct"
"Account 9","","CA","(650) 867-3450","Customer - Channel"
"Account 10","","CA","(650) 867-3450","Customer - Channel"
